dest_host,severity,cve_id,time_window,cvss_only_score,structural_triage_score,cvss_rank,sts_rank,rank_delta,c_severity,c_betweenness,c_path_critical,c_persistence,c_blind_spot
h38,HIGH,CVE-2021-28341,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h77,HIGH,CVE-2020-8558,T2,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h97,CRITICAL,CVE-2020-7960,T3,1.0,0.5735,1,41,-40,1.0,0.044,1.0,0.75,0.0
h10,HIGH,CVE-2021-1234,T3,0.75,0.4827,58,155,-97,0.75,0.081,1.0,0.5,0.0
h94,MEDIUM,CVE-2020-25696,T2,0.5,0.4393,181,195,-14,0.5,0.007,1.0,0.75,0.0
h35,HIGH,CVE-2018-4939,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h38,MEDIUM,CVE-2021-28341,T3,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h58,MEDIUM,CVE-2020-25696,T2,0.5,0.3625,181,252,-71,0.5,0.0,1.0,0.25,0.0
h31,CRITICAL,CVE-2021-3129,T2,1.0,0.5815,1,35,-34,1.0,0.076,1.0,0.75,0.0
h75,MEDIUM,CVE-2020-27240,T4,0.5,0.4392,181,196,-15,0.5,0.007,1.0,0.75,0.0
h61,HIGH,CVE-2020-16898,T1,0.75,0.5508,58,63,-5,0.75,0.053,1.0,1.0,0.0
h1,HIGH,CVE-2021-20294,T3,0.75,0.5025,58,112,-54,0.75,0.01,1.0,0.75,0.0
h85,LOW,CVE-2021-28850,T4,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h65,HIGH,CVE-2021-28851,T3,0.75,0.559,58,56,2,0.75,0.086,1.0,1.0,0.0
h25,MEDIUM,CVE-2020-11084,T3,0.5,0.4458,181,191,-10,0.5,0.033,1.0,0.75,0.0
h29,LOW,CVE-2021-3129,T2,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h88,MEDIUM,CVE-2020-26139,T1,0.5,0.401,181,235,-54,0.5,0.004,1.0,0.5,0.0
h62,HIGH,CVE-2021-28150,T2,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h96,HIGH,CVE-2021-37582,T4,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h9,HIGH,CVE-2021-28169,T4,0.75,0.4761,58,165,-107,0.75,0.054,1.0,0.5,0.0
